Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ClimaSens-Touch.PrjPcb|ReportField=ProjectFullPath~C:\Data\MEA.rep\Projects\Smart-ClimaSens\Smart-ClimaSens(PCB-Production)\ClimaSens-Touch\ClimaSens-Touch.PrjPcb|ReportField=Title~Bill of Materials For Project [ClimaSens-Touch.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~15:31:02|ReportField=ReportDate~07.03.2019|ReportField=ReportDateTime~07.03.2019 15:31:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~7|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~07.03.2019|ReportField=CurrentTime~15:30:58|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Data\MEA.rep\Projects\Smart-ClimaSens\Smart-ClimaSens(PCB-Production)\ClimaSens-Touch\ClimaSens-Touch.SchDoc|ReportField=DocumentName~ClimaSens-Touch.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30.01.2019|ReportField=Organization~|ReportField=ProjectName~ClimaSens-Touch.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ClimaSens-Touch.PrjPcb|ReportField=DataSourceFullPath~C:\Data\MEA.rep\Projects\Smart-ClimaSens\Smart-ClimaSens(PCB-Production)\ClimaSens-Touch\ClimaSens-Touch.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10nF||C1|0805|Capacitator|1
2|10uF||C2|0805|Capacitator|1
3|LED||D1|LED 3mm|LED|1
4|JDY-08 CC2541||IC1|JDY-08 CC2541|JDY-08 CC2541|1
5|Touch||IC2|Touch|Touch|1
6|Vcc||P1|ProgramPort|ProgramPort|1
7|Vcc||V1|Battery-Clip|Battery Clip|1
